Ex,Ey,Ez,trapped_ratio,kicked_ratio,loading_signal
0.1034482759,-0.2,-0.303448276,,,
0.4482758621,-0.034482759,-0.579310345,,,
-0.793103448,0.1448275862,-0.689655172,,,
0.8620689655,-0.15862069,-0.35862069,,,
-0.103448276,0.1586206897,0.6344827586,,,
-0.448275862,0.0482758621,0.3034482759,,,
0.724137931,0.2,0.524137931,,,
0.7931034483,0.0896551724,-0.193103448,,,
-0.034482759,-0.144827586,0.4689655172,,,
-0.379310345,0.1862068966,0.0275862069,,,
-0.172413793,-0.089655172,-0.524137931,,,
-0.655172414,-0.186206897,-0.413793103,,,
0.5172413793,0.075862069,0.7448275862,,,
-0.931034483,-0.048275862,0.5793103448,,,
0.3103448276,0.1310344828,0.1379310345,,,
0.6551724138,-0.117241379,0.6896551724,,,
-1,0.1172413793,0.0827586207,,,
-0.310344828,0.0344827586,-0.8,,,
0.1724137931,0.0206896552,-0.137931034,,,
0.0344827586,0.1724137931,-0.468965517,,,
0.5862068966,0.1034482759,-0.744827586,,,
1,-0.131034483,0.1931034483,,,
-0.862068966,-0.062068966,-0.634482759,,,
0.9310344828,0.0068965517,0.2482758621,,,
0.3793103448,-0.103448276,-0.027586207,,,
-0.586206897,-0.075862069,-0.082758621,,,
-0.24137931,-0.006896552,0.8,,,
-0.517241379,0.0620689655,-0.248275862,,,
0.2413793103,-0.020689655,0.4137931034,,,
-0.724137931,-0.172413793,0.3586206897,,,
