Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2,600,7000,,,,,,,
-0.05,1200,12000,,,,,,,
0.05,300,5000,,,,,,,
0,600,7000,,,,,,,
0.25,1800,20000,,,,,,,
0.15,1500,16000,,,,,,,
0.1,1500,16000,,,,,,,
-0.1,1200,12000,,,,,,,
-0.2,1800,20000,,,,,,,
-0.05,800,8000,,,,,,,
0,800,8000,,,,,,,
-0.15,800,8000,,,,,,,
0.2,600,7000,,,,,,,
0.15,1000,10000,,,,,,,
0.1,600,7000,,,,,,,
-0.1,800,8000,,,,,,,
-0.05,600,7000,,,,,,,
0.2,1800,20000,,,,,,,
0.05,500,6000,,,,,,,
0.1,3000,25000,,,,,,,
0.2,500,6000,,,,,,,
0,1500,16000,,,,,,,
0.05,1200,12000,,,,,,,
-0.2,800,8000,,,,,,,
-0.15,1500,16000,,,,,,,
-0.2,1500,16000,,,,,,,
-0.1,600,7000,,,,,,,
0.1,1800,20000,,,,,,,
0.05,3000,25000,,,,,,,
0.2,800,8000,,,,,,,
0,300,5000,,,,,,,
0.15,3000,25000,,,,,,,
-0.15,1200,12000,,,,,,,
0.15,600,7000,,,,,,,
0.15,1200,12000,,,,,,,
0.05,1800,20000,,,,,,,
0.05,1500,16000,,,,,,,
0.15,500,6000,,,,,,,
-0.1,1500,16000,,,,,,,
-0.05,3000,25000,,,,,,,
0.2,1000,10000,,,,,,,
0.15,300,5000,,,,,,,
0.1,1000,10000,,,,,,,
0.25,3000,25000,,,,,,,
0.05,800,8000,,,,,,,
-0.1,1000,10000,,,,,,,
0,1800,20000,,,,,,,
-0.15,1800,20000,,,,,,,
-0.1,300,5000,,,,,,,
0.1,800,8000,,,,,,,
-0.2,300,5000,,,,,,,
-0.2,1200,12000,,,,,,,
0.05,600,7000,,,,,,,
0.1,1200,12000,,,,,,,
0.2,1200,12000,,,,,,,
0.2,3000,25000,,,,,,,
-0.1,500,6000,,,,,,,
0.25,1500,16000,,,,,,,
0.15,800,8000,,,,,,,
0.25,300,5000,,,,,,,
-0.15,300,5000,,,,,,,
0,1200,12000,,,,,,,
-0.15,3000,25000,,,,,,,
-0.15,500,6000,,,,,,,
0.1,500,6000,,,,,,,
0.05,1000,10000,,,,,,,
-0.05,300,5000,,,,,,,
0.1,300,5000,,,,,,,
-0.05,1800,20000,,,,,,,
0.25,1200,12000,,,,,,,
-0.2,1000,10000,,,,,,,
0.25,1000,10000,,,,,,,
-0.1,1800,20000,,,,,,,
0.2,1500,16000,,,,,,,
-0.15,600,7000,,,,,,,
-0.15,1000,10000,,,,,,,
0.2,300,5000,,,,,,,
0,3000,25000,,,,,,,
0.15,1800,20000,,,,,,,
0.25,600,7000,,,,,,,
0.25,500,6000,,,,,,,
-0.05,500,6000,,,,,,,
0.25,800,8000,,,,,,,
-0.2,500,6000,,,,,,,
-0.05,1500,16000,,,,,,,
-0.2,3000,25000,,,,,,,
0,1000,10000,,,,,,,
-0.05,1000,10000,,,,,,,
0,500,6000,,,,,,,
-0.1,3000,25000,,,,,,,
