U2,RF_amplitude,mesh_voltage,MCP_front,Ex,Ey,Ez,time_cost,lifetime
-0.35,4,120,400,-0.1375,0.1,0.08,,
-0.275,3.25,130,475,-0.1375,0.0875,0.0675,,
-0.35,4,150,475,-0.1,0.0625,0.08,,
-0.325,3.25,110,400,-0.1125,0.05,0.08,,
-0.35,3.25,120,500,-0.1,0.0875,0.08,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.325,4,120,400,-0.1375,0.05,0.03,,
-0.325,1,110,475,-0.1,0.05,0.08,,
-0.35,1,140,400,-0.1125,0.1,0.03,,
-0.25,1,140,500,-0.1,0.0625,0.08,,
-0.25,4,110,500,-0.15,0.1,0.08,,
-0.325,1.75,150,475,-0.1,0.0875,0.0675,,
-0.325,4,140,475,-0.1125,0.1,0.0675,,
-0.35,4,120,400,-0.1,0.1,0.03,,
-0.35,1,150,500,-0.1,0.05,0.03,,
-0.25,4,150,500,-0.15,0.0625,0.0675,,
-0.25,1,110,500,-0.1375,0.1,0.03,,
-0.25,4,110,500,-0.1125,0.0875,0.03,,
-0.35,4,110,500,-0.1375,0.05,0.08,,
-0.35,1,150,400,-0.15,0.0625,0.03,,
-0.275,1.75,140,400,-0.1125,0.1,0.08,,
-0.25,4,150,425,-0.15,0.1,0.08,,
-0.275,4,150,500,-0.15,0.1,0.0425,,
-0.25,4,110,500,-0.1,0.0625,0.08,,
-0.35,1,110,400,-0.15,0.05,0.08,,
-0.35,4,120,500,-0.1375,0.1,0.03,,
-0.25,1.75,150,500,-0.15,0.0875,0.08,,
-0.325,1,140,400,-0.1,0.05,0.08,,
-0.35,1.75,110,500,-0.1375,0.05,0.03,,
-0.25,1,110,400,-0.15,0.0625,0.03,,
-0.35,4,150,400,-0.1125,0.05,0.03,,
-0.325,1.75,140,425,-0.1375,0.0875,0.0425,,
-0.325,1.75,150,475,-0.1,0.0875,0.0675,,
-0.35,3.25,150,425,-0.1,0.0875,0.08,,
-0.35,4,140,500,-0.1375,0.05,0.03,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.35,4,150,500,-0.15,0.0875,0.08,,
-0.25,1,150,400,-0.1375,0.0625,0.0675,,
-0.25,4,110,425,-0.1125,0.1,0.08,,
-0.25,1,140,500,-0.1,0.1,0.03,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.275,1,150,400,-0.15,0.1,0.03,,
-0.35,4,140,425,-0.1375,0.0625,0.0675,,
-0.325,1,110,400,-0.1,0.1,0.0675,,
-0.25,1,150,500,-0.15,0.05,0.0425,,
-0.25,1,150,400,-0.1125,0.05,0.0425,,
-0.325,1,150,400,-0.15,0.0875,0.0675,,
-0.25,4,150,475,-0.1,0.0625,0.03,,
-0.25,3.25,150,425,-0.1,0.05,0.0675,,
-0.275,4,150,500,-0.1,0.0875,0.08,,
-0.25,1.75,110,500,-0.1,0.1,0.0675,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.25,3.25,140,425,-0.15,0.05,0.03,,
-0.275,1.75,120,425,-0.1,0.05,0.08,,
-0.35,1,110,475,-0.1125,0.1,0.0425,,
-0.35,1,150,500,-0.15,0.05,0.08,,
-0.275,1.75,140,400,-0.1125,0.1,0.08,,
-0.275,4,110,500,-0.15,0.05,0.03,,
-0.275,3.25,130,475,-0.1375,0.0875,0.0675,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.325,3.25,110,500,-0.1125,0.05,0.03,,
-0.25,1,120,500,-0.1,0.05,0.03,,
-0.275,1.75,120,425,-0.1,0.05,0.08,,
-0.35,3.25,110,425,-0.15,0.0875,0.03,,
-0.275,4,150,400,-0.15,0.05,0.08,,
-0.25,3.25,110,425,-0.15,0.0625,0.0675,,
-0.35,1,120,400,-0.1375,0.1,0.03,,
-0.325,1,110,500,-0.15,0.0875,0.0675,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.325,1,150,500,-0.15,0.0875,0.03,,
-0.275,1.75,140,475,-0.1125,0.05,0.0675,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.3,2.5,130,450,-0.125,0.075,0.055,,
-0.325,1.75,140,425,-0.1375,0.0875,0.0425,,
-0.35,3.25,150,500,-0.1,0.0875,0.0425,,
-0.35,3.25,150,400,-0.15,0.1,0.03,,
-0.35,1,140,500,-0.1375,0.1,0.08,,
-0.25,1.75,110,400,-0.15,0.1,0.08,,
-0.25,4,150,425,-0.1,0.1,0.03,,
-0.25,1,120,425,-0.1125,0.0875,0.03,,
-0.25,1,110,500,-0.15,0.05,0.08,,
-0.325,1,110,400,-0.1,0.05,0.03,,
-0.327580042,3.25,120,475,-0.15,0.0625,0.0425,,
-0.35,1.75,120,425,-0.1125,0.0625,0.0675,,
-0.25,4,120,400,-0.1375,0.1,0.0425,,
-0.275,4,110,400,-0.1,0.0625,0.03,,
