Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2,0.0,-0.07508190607999998,1000,10000,,,,,,,
-0.2,0.0,-0.07508190607999998,500,6000,,,,,,,
-0.2,0.0,-0.07508190607999998,800,8000,,,,,,,
-0.2,0.0,-0.07508190607999998,1800,20000,,,,,,,
-0.2,0.0,-0.07508190607999998,1200,12000,,,,,,,
-0.2,0.0,-0.07508190607999998,300,5000,,,,,,,
-0.2,0.0,-0.07508190607999998,600,7000,,,,,,,
-0.2,0.0,-0.07508190607999998,1500,16000,,,,,,,
-0.2,0.0,0.025,800,8000,,,,,,,
-0.2,0.0,0.025,1000,10000,,,,,,,
-0.2,0.0,0.025,1800,20000,,,,,,,
-0.2,0.0,0.025,1200,12000,,,,,,,
-0.2,0.0,0.025,1500,16000,,,,,,,
-0.2,0.0,0.025,300,5000,,,,,,,
-0.2,0.0,0.025,500,6000,,,,,,,
-0.2,0.0,0.025,600,7000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,800,8000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1200,12000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,500,6000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1800,20000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1500,16000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,600,7000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,300,5000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1000,10000,,,,,,,
-0.28340158849999997,0.0,0.025,1000,10000,,,,,,,
-0.28340158849999997,0.0,0.025,1800,20000,,,,,,,
-0.28340158849999997,0.0,0.025,1500,16000,,,,,,,
-0.28340158849999997,0.0,0.025,300,5000,,,,,,,
-0.28340158849999997,0.0,0.025,800,8000,,,,,,,
-0.28340158849999997,0.0,0.025,1200,12000,,,,,,,
-0.28340158849999997,0.0,0.025,600,7000,,,,,,,
-0.28340158849999997,0.0,0.025,500,6000,,,,,,,
-0.1165984115,0.0,0.025,1200,12000,,,,,,,
-0.1165984115,0.0,0.025,600,7000,,,,,,,
-0.1165984115,0.0,0.025,1500,16000,,,,,,,
-0.1165984115,0.0,0.025,1800,20000,,,,,,,
-0.1165984115,0.0,0.025,1000,10000,,,,,,,
-0.1165984115,0.0,0.025,500,6000,,,,,,,
-0.1165984115,0.0,0.025,300,5000,,,,,,,
-0.1165984115,0.0,0.025,800,8000,,,,,,,
-0.2,0.0,0.025,800,8000,,,,,,,
-0.2,0.0,0.025,500,6000,,,,,,,
-0.2,0.0,0.025,1000,10000,,,,,,,
-0.2,0.0,0.025,300,5000,,,,,,,
-0.2,0.0,0.025,1200,12000,,,,,,,
-0.2,0.0,0.025,600,7000,,,,,,,
-0.2,0.0,0.025,1800,20000,,,,,,,
-0.2,0.0,0.025,1500,16000,,,,,,,
-0.2,0.0,-0.07508190607999998,1500,16000,,,,,,,
-0.2,0.0,-0.07508190607999998,600,7000,,,,,,,
-0.2,0.0,-0.07508190607999998,800,8000,,,,,,,
-0.2,0.0,-0.07508190607999998,300,5000,,,,,,,
-0.2,0.0,-0.07508190607999998,1000,10000,,,,,,,
-0.2,0.0,-0.07508190607999998,500,6000,,,,,,,
-0.2,0.0,-0.07508190607999998,1800,20000,,,,,,,
-0.2,0.0,-0.07508190607999998,1200,12000,,,,,,,
-0.2,-0.0834015885,0.025,300,5000,,,,,,,
-0.2,-0.0834015885,0.025,500,6000,,,,,,,
-0.2,-0.0834015885,0.025,1000,10000,,,,,,,
-0.2,-0.0834015885,0.025,800,8000,,,,,,,
-0.2,-0.0834015885,0.025,600,7000,,,,,,,
-0.2,-0.0834015885,0.025,1500,16000,,,,,,,
-0.2,-0.0834015885,0.025,1800,20000,,,,,,,
-0.2,-0.0834015885,0.025,1200,12000,,,,,,,
-0.2,0.08340158845,0.025,1200,12000,,,,,,,
-0.2,0.08340158845,0.025,500,6000,,,,,,,
-0.2,0.08340158845,0.025,800,8000,,,,,,,
-0.2,0.08340158845,0.025,1500,16000,,,,,,,
-0.2,0.08340158845,0.025,1800,20000,,,,,,,
-0.2,0.08340158845,0.025,300,5000,,,,,,,
-0.2,0.08340158845,0.025,600,7000,,,,,,,
-0.2,0.08340158845,0.025,1000,10000,,,,,,,
-0.2,0.0,0.025,1200,12000,,,,,,,
-0.2,0.0,0.025,1000,10000,,,,,,,
-0.2,0.0,0.025,1800,20000,,,,,,,
-0.2,0.0,0.025,800,8000,,,,,,,
-0.2,0.0,0.025,300,5000,,,,,,,
-0.2,0.0,0.025,1500,16000,,,,,,,
-0.2,0.0,0.025,500,6000,,,,,,,
-0.2,0.0,0.025,600,7000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,1200,12000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,1500,16000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,800,8000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,1000,10000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,600,7000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,300,5000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,1800,20000,,,,,,,
-0.15000000000000002,-0.05,-0.034999999999999996,500,6000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1000,10000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,800,8000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1800,20000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,500,6000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1500,16000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,1200,12000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,600,7000,,,,,,,
-0.15000000000000002,0.05,0.08499999999999999,300,5000,,,,,,,
-0.15000000000000002,0.05,-0.034999999999999996,1000,10000,,,,,,,
