front_setpoint,front_voltage,back_setpoint,back_voltage,anode_setpoint,anode_voltage
1,28,1,43,2,13
50,51,51,51,52,53
100,101,101,102,102,103
150,152,151,152,151,152
200,202,200,201,201,202
250,252,250,252,251,252
300,301,300,300,301,302
350,351,351,351,351,352
400,401,400,401,400,401
449,450,450,450,450,450
499,500,500,500,500,500
549,550,549,549,549,550
599,600,599,599,599,599
649,650,649,650,649,649
699,700,699,699,699,699
749,750,749,749,748,748
799,800,798,798,797,798
849,849,848,848,847,848
898,899,897,898,897,898
949,950,947,947,947,948
998,999,997,997,997,997
1047,1048,1047,1047,1046,1046
1098,1099,1097,1097,1097,1097
1148,1149,1147,1147,1145,1145
1198,1199,1197,1197,1195,1195
1248,1249,1247,1247,1244,1244
1298,1298,1297,1298,1294,1294
1347,1348,1347,1347,1344,1344
1397,1398,1396,1396,1394,1394
1447,1448,1446,1446,1444,1444
1497,1498,1495,1496,1494,1494
1546,1547,1545,1545,1543,1543
1596,1597,1596,1596,1592,1592
1647,1647,1644,1645,1643,1643
1697,1698,1695,1694,1692,1692
1746,1747,1745,1744,1742,1742
1796,1797,1794,1794,1791,1792
1846,1846,1844,1844,1841,1841
1896,1896,1894,1893,1890,1890
NULL,NULL,1944,1943,1940,1940
NULL,NULL,1993,1993,1990,1990
NULL,NULL,2042,2042,2040,2040
NULL,NULL,2093,2092,2089,2089
NULL,NULL,2142,2142,2139,2138
NULL,NULL,2192,2191,2189,2188
NULL,NULL,2242,2242,2239,2238
NULL,NULL,2292,2291,2288,2287
NULL,NULL,2342,2342,2337,2337
NULL,NULL,2392,2392,2387,2386
NULL,NULL,2442,2441,2438,2437
NULL,NULL,2491,2491,2487,2487
NULL,NULL,2541,2541,2537,2536
NULL,NULL,2591,2591,2586,2586
NULL,NULL,2641,2641,2636,2636
NULL,NULL,2691,2691,2686,2686
NULL,NULL,2740,2740,2735,2735
NULL,NULL,2790,2790,2785,2785
NULL,NULL,2840,2840,2835,2835
NULL,NULL,2890,2890,2884,2885
NULL,NULL,2939,2940,2934,2934
NULL,NULL,2989,2989,2983,2983
